         20874020 function calls (19984092 primitive calls) in 221.636 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20340    0.008    0.000    0.009    0.000 distribution_strategy_context.py:397(_get_default_replica_mode)
     5928    0.008    0.000    0.013    0.000 ops.py:4554(unique_name)
    76468    0.008    0.000    0.008    0.000 {built-in method builtins.id}
    22760    0.008    0.000    0.008    0.000 {method 'isidentifier' of 'str' objects}
     5173    0.008    0.000    0.009    0.000 ops.py:7298(_reconstruct_sequence_inputs)
    18/14    0.008    0.000    0.777    0.056 gradients_util.py:468(_GradientsHelper)
   106464    0.008    0.000    0.010    0.000 {method 'get' of 'dict' objects}
    77002    0.008    0.000    0.008    0.000 tensor_spec.py:96(dtype)
    20578    0.008    0.000    0.008    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsMutableMapping}
    18799    0.008    0.000    0.008    0.000 weakref.py:415(__getitem__)
     5213    0.008    0.000    0.010    0.000 ops.py:3377(_add_op)
    41346    0.007    0.000    0.030    0.000 compat.py:115(as_str)
     3453    0.007    0.000    0.048    0.000 tf_decorator.py:308(__init__)
    23654    0.007    0.000    0.018    0.000 object_identity.py:202(update)
    18823    0.007    0.000    0.008    0.000 function_spec.py:584(<listcomp>)
     4828    0.007    0.000    0.007    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.GetOperationInputs}
      128    0.007    0.000    0.007    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      326    0.007    0.000    0.048    0.000 interface.py:676(publish_output_raw)
    37524    0.007    0.000    0.007    0.000 trace.py:50(__init__)
      258    0.007    0.000    0.019    0.000 feedparser.py:471(_parse_headers)
     2785    0.007    0.000    0.010    0.000 op_def_library.py:392(_ExtractDefaultTypesAndAllowedTypes)
       62    0.007    0.000    0.007    0.000 {built-in method builtins.compile}
    19124    0.007    0.000    0.007    0.000 trace_type_builder.py:38(__init__)
      202    0.007    0.000    0.007    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextSyncExecutors}
    14672    0.007    0.000    0.007    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationName}
        4    0.007    0.002    0.007    0.002 {method 'poll' of 'select.poll' objects}
      199    0.007    0.000    0.063    0.000 backend.py:4299(batch_set_value)
      100    0.007    0.000    0.196    0.002 callbacks.py:440(on_epoch_end)
     5893    0.007    0.000    0.015    0.000 ops.py:4190(_get_tensor_by_tf_output)
        1    0.007    0.007    0.009    0.009 figure.py:2398(__init__)
     6040    0.007    0.000    0.026    0.000 ops.py:404(__init__)
    18788    0.007    0.000    0.007    0.000 data_adapter.py:1415(should_sync)
     3441    0.007    0.000    0.012    0.000 functools.py:35(update_wrapper)
      437    0.006    0.000    0.006    0.000 {method 'send' of '_socket.socket' objects}
     2785    0.006    0.000    0.053    0.000 op_def_library.py:723(_GetOpDef)
     2791    0.006    0.000    0.011    0.000 ops.py:5940(_get_outer_context_and_inner_device_stack)
     4940    0.006    0.000    0.016    0.000 op_def_library.py:815(value_to_attr_value)
    41527    0.006    0.000    0.006    0.000 resource_variable_ops.py:582(handle)
    18816    0.006    0.000    0.015    0.000 gradients_util.py:1046(PossibleTapeGradientTypes)
     2723    0.006    0.000    0.008    0.000 tensor_shape.py:1418(as_proto)
     7577    0.006    0.000    0.023    0.000 ops.py:4210(_get_op_def)
     4990    0.006    0.000    0.006    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_AddInput}
      366    0.006    0.000    0.095    0.000 {built-in method io.open}
       10    0.006    0.001    0.089    0.009 base_layer.py:753(__new__)
     5173    0.006    0.000    0.020    0.000 ops.py:4797(_apply_device_functions)
     5173    0.006    0.000    0.015    0.000 lock_util.py:95(release)
 1060/768    0.006    0.000    0.020    0.000 base_layer.py:1297(trainable_weights)
    37594    0.006    0.000    0.009    0.000 monomorphic_function.py:274(signature)
    37622    0.006    0.000    0.006    0.000 iterator_ops.py:923(_to_components)
    27123    0.006    0.000    0.015    0.000 dtypes.py:82(base_dtype)
    56451    0.006    0.000    0.006    0.000 iterator_ops.py:909(__init__)
    18940    0.006    0.000    0.008    0.000 tracing_compiler.py:155(input_signature)
3328/2990    0.006    0.000    0.043    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    46726    0.006    0.000    0.017    0.000 feedparser.py:128(__next__)
       49    0.006    0.000    0.011    0.000 tf_inspect.py:267(getfullargspec)
     2755    0.006    0.000    0.022    0.000 ops.py:502(_c_api_shape)
    21040    0.006    0.000    0.019    0.000 c_api_util.py:199(tf_buffer)
    10387    0.006    0.000    0.032    0.000 ops.py:2521(inputs)
6811/6801    0.006    0.000    0.013    0.000 tensor_shape.py:815(__init__)
    18792    0.006    0.000    0.006    0.000 polymorphic_function.py:519(__exit__)
 4758/201    0.006    0.000    0.033    0.000 ast.py:477(generic_visit)
      326    0.006    0.000    0.026    0.000 interface_shared.py:76(_publish_output_raw)
       36    0.005    0.000    0.059    0.002 training.py:2763(get_weights)
    23029    0.005    0.000    0.005    0.000 enum.py:670(__new__)
        5    0.005    0.001    0.005    0.001 linalg.py:483(inv)
    27209    0.005    0.000    0.005    0.000 ops.py:3690(building_function)
      305    0.005    0.000    1.345    0.004 data_adapter.py:1302(enumerate_epochs)
    14786    0.005    0.000    0.015    0.000 registry.py:81(lookup)
      326    0.005    0.000    0.061    0.000 redirect.py:644(write)
       36    0.005    0.000    0.012    0.000 training.py:3179(_undeduplicated_weights)
     5173    0.005    0.000    0.015    0.000 lock_util.py:85(acquire)
      404    0.005    0.000    0.020    0.000 data_adapter.py:1339(catch_stop_iteration)
        5    0.005    0.001    0.005    0.001 take.py:120(_take_nd_ndarray)
    37805    0.005    0.000    0.005    0.000 function_spec.py:299(input_signature)
     7028    0.005    0.000    0.009    0.000 inspect.py:494(unwrap)
      501    0.005    0.000    0.069    0.000 resource_variable_ops.py:955(assign)
      462    0.005    0.000    0.007    0.000 <__array_function__ internals>:177(ndim)
    22592    0.005    0.000    0.007    0.000 ops.py:5367(_device_function_stack)
      200    0.005    0.000    0.015    0.000 fromnumeric.py:3313(mean)
    20201    0.005    0.000    0.015    0.000 context.py:558(ensure_initialized)
     9592    0.005    0.000    0.008    0.000 _policybase.py:293(header_source_parse)
    19350    0.005    0.000    0.005    0.000 {method 'acquire' of '_thread.RLock' objects}
     7974    0.005    0.000    0.038    0.000 op_def_library.py:51(_SatisfiesTypeConstraint)
    18802    0.005    0.000    0.005    0.000 monomorphic_function.py:119(__exit__)
    37524    0.005    0.000    0.005    0.000 trace.py:121(__exit__)
    37604    0.005    0.000    0.005    0.000 context.py:176(config_proto_serialized)
      933    0.005    0.000    0.031    0.000 re.py:289(_compile)
    18793    0.005    0.000    0.016    0.000 iterator_ops.py:881(__tf_tracing_type__)
       11    0.005    0.000    0.005    0.000 version_utils.py:89(swap_class)
    18792    0.005    0.000    0.005    0.000 polymorphic_function.py:509(__init__)
        1    0.005    0.005    0.006    0.006 backend_macosx.py:39(__init__)
    39186    0.005    0.000    0.005    0.000 c_api_util.py:54(get)
        1    0.005    0.005    0.005    0.005 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContext}
    19581    0.005    0.000    0.005    0.000 distribute_lib.py:846(extended)
      437    0.005    0.000    0.016    0.000 sock_client.py:145(_send_message)
     1707    0.005    0.000    0.005    0.000 {built-in method numpy.array}
    37752    0.005    0.000    0.005    0.000 function_spec.py:283(function_type)
1308/1286    0.005    0.000    0.220    0.000 nest.py:809(map_structure)
      212    0.005    0.000    0.058    0.000 io_utils.py:73(print_msg)
     5173    0.005    0.000    0.008    0.000 lock_util.py:105(_another_group_active)
      204    0.005    0.000    0.010    0.000 _methods.py:163(_mean)
    25600    0.004    0.000    0.004    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
     4759    0.004    0.000    0.039    0.000 ops.py:6838(__enter__)
     5173    0.004    0.000    0.033    0.000 tf_stack.py:169(extract_stack_for_op)
